iter	Passed	Remaining
746	30457	10315
747	30494	10273
748	30531	10231
749	30569	10189
750	30606	10147
751	30650	10107
752	30690	10067
753	30728	10025
754	30765	9983
755	30802	9941
756	30839	9899
757	30876	9857
758	30913	9815
759	30950	9773
760	30993	9733
761	31029	9691
762	31066	9649
763	31102	9607
764	31140	9566
765	31179	9524
766	31216	9483
767	31254	9441
768	31298	9401
769	31339	9361
770	31384	9321
771	31423	9280
772	31460	9238
773	31499	9197
774	31537	9156
775	31575	9114
776	31612	9072
777	31650	9031
778	31687	8989
779	31724	8947
780	31762	8906
781	31800	8865
782	31837	8823
783	31876	8782
784	31913	8740
785	31951	8699
786	31988	8657
787	32026	8616
788	32065	8575
789	32105	8534
790	32144	8493
791	32186	8453
792	32228	8412
793	32266	8371
794	32305	8330
795	32344	8289
796	32388	8249
797	32440	8211
798	32505	8177
799	32557	8139
800	32602	8099
801	32653	8061
802	32695	8021
803	32736	7980
804	32778	7940
805	32820	7899
806	32862	7859
807	32903	7818
808	32944	7777
809	32985	7737
810	33027	7697
811	33070	7656
812	33111	7616
813	33153	7575
814	33192	7534
815	33234	7494
816	33278	7454
817	33319	7413
818	33357	7371
819	33394	7330
820	33432	7289
821	33469	7247
822	33507	7206
823	33544	7164
824	33582	7123
825	33620	7082
826	33657	7040
827	33694	6999
828	33732	6958
829	33769	6916
830	33806	6875
831	33843	6833
832	33882	6792
833	33920	6751
834	33957	6710
835	33994	6668
836	34034	6628
837	34073	6586
838	34111	6545
839	34149	6504
840	34189	6463
841	34226	6422
842	34263	6381
843	34301	6340
844	34339	6298
845	34376	6257
846	34413	6216
847	34451	6175
848	34488	6134
849	34526	6092
850	34563	6051
851	34605	6011
852	34643	5970
853	34682	5929
854	34719	5888
855	34768	5848
856	34818	5809
857	34860	5769
858	34898	5728
859	34936	5687
860	34975	5646
861	35012	5605
862	35049	5564
863	35086	5522
864	35126	5482
865	35163	5441
866	35201	5399
867	35239	5359
868	35277	5317
869	35315	5276
870	35352	5235
871	35389	5194
872	35426	5153
873	35463	5112
874	35501	5071
875	35538	5030
876	35575	4989
877	35612	4948
878	35650	4907
879	35687	4866
880	35726	4825
881	35766	4785
882	35804	4744
883	35841	4703
884	35878	4662
885	35915	4621
886	35952	4580
887	35990	4539
888	36029	4498
889	36067	4457
890	36104	4416
891	36143	4376
892	36180	4335
893	36218	4294
894	36257	4253
895	36297	4213
896	36335	4172
897	36374	4131
898	36411	4090
899	36449	4049
900	36486	4009
901	36530	3968
902	36569	3928
903	36607	3887
904	36644	3846
905	36682	3805
906	36719	3765
907	36759	3724
908	36798	3683
909	36836	3643
910	36877	3602
911	36916	3562
912	36953	3521
913	36990	3480
914	37028	3439
915	37065	3399
916	37102	3358
917	37143	3317
918	37180	3277
919	37217	3236
920	37254	3195
921	37291	3154
922	37328	3114
923	37366	3073
924	37403	3032
925	37442	2992
926	37479	2951
927	37517	2910
928	37554	2870
929	37594	2829
930	37631	2789
931	37668	2748
932	37706	2707
933	37743	2667
934	37780	2626
935	37818	2585
936	37858	2545
937	37899	2505
938	37936	2464
939	37973	2423
940	38011	2383
941	38048	2342
942	38086	2302
943	38123	2261
944	38161	2221
945	38198	2180
946	38236	2139
947	38276	2099
948	38315	2059
949	38352	2018
950	38390	1978
951	38431	1937
952	38469	1897
953	38506	1856
954	38543	1816
955	38580	1775
956	38617	1735
957	38656	1694
958	38693	1654
959	38733	1613
960	38770	1573
961	38809	1533
962	38847	1492
963	38885	1452
964	38922	1411
965	38959	1371
966	38996	1330
967	39035	1290
968	39072	1249
969	39109	1209
970	39146	1169
971	39184	1128
972	39221	1088
973	39258	1047
974	39296	1007
975	39334	967
976	39372	926
977	39409	886
978	39446	846
